"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hsa_signal_wait_scacquire",16039,12913633494,805139,82.8142660217388
"hsa_amd_memory_unlock",13748,1962900907,142777,12.587951947229888
"hsa_amd_memory_lock",13748,243393476,17703,1.56086604740524
"hsa_queue_create",32,234396974,7324905,1.5031720830969555
"hsa_signal_store_relaxed",13746,40939075,2978,0.262539543909865
"hsa_queue_destroy",32,34467617,1077113,0.22103851752488082
"hsa_amd_memory_async_copy",13748,25176175,1831,0.16145312276584037
"hsa_system_get_info",36500,24573206,673,0.15758632298465852
"hsa_amd_signal_async_handler",13748,23740169,1726,0.15224411254047915
"hsa_signal_create",16041,20970303,1307,0.1344811475411126
"hsa_signal_store_screlease",27496,18431222,670,0.11819819127768447
"hsa_signal_destroy",13750,15496329,1127,0.09937691918875097
"hsa_amd_profiling_get_async_copy_time",13748,8284922,602,0.05313064946408307
"hsa_signal_load_relaxed",13748,7546957,548,0.048398129383415804
"hsa_amd_memory_pool_allocate",2295,5490251,2392,0.03520861166234656
"hsa_amd_memory_pool_free",2295,5253873,2289,0.03369273539229585
"hsa_queue_add_write_index_relaxed",6873,3469062,504,0.02224686208164313
"hsa_queue_load_read_index_scacquire",6873,3233734,470,0.020737719391213005
"hsa_amd_memory_pool_get_info",220,315430,1433,0.002022831447351674
"hsa_amd_agents_allow_access",2,292033,146016,0.0018727880546062562
"hsa_agent_get_info",298,270796,908,0.0017365965970803153
"hsa_executable_destroy",1,268498,268498,0.001721859677110705
"hsa_amd_agent_iterate_memory_pools",60,252505,4208,0.001619297640089828
"hsa_executable_load_code_object",1,175208,175208,0.0011235971601546843
"hsa_code_object_deserialize",1,162504,162504,0.0010421272596786496
"hsa_executable_freeze",1,154257,154257,0.0009892398014587297
"hsa_system_get_major_extension_table",6,133466,22244,0.0008559085120382921
"hsa_isa_get_info_alt",12,32964,2747,0.00021139592248835105
"hsa_executable_create",1,12434,12434,7.97384085736002e-05
"hsa_executable_symbol_get_info",37,8864,239,5.684423786363135e-05
"hsa_iterate_agents",5,6001,1200,3.848401076485241e-05
"hsa_amd_profiling_async_copy_enable",1,2124,2124,1.362106963248567e-05
"hsa_agent_iterate_isas",1,2074,2074,1.3300422983886667e-05
"hsa_init",1,852,852,5.463818892127021e-06
"hsa_executable_iterate_symbols",1,721,721,4.6237246727976315e-06
"hsa_amd_register_system_event_handler",1,561,561,3.59765539728082e-06
"hsa_dispatch",4582,0,0,0.0
